,primary,technical,economic,social
0,social,1400.0,3500.0,
1,social,1250.0,3500.0,
2,social,1100.0,3500.0,
3,social,950.0,3500.0,
4,social,800.0,3500.0,
5,social,650.0,3500.0,
6,social,500.0,3500.0,
7,social,350.0,3500.0,
8,social,200.0,3500.0,
9,technical,,3500.0,1900.0
10,technical,,3500.0,1750.0
11,technical,,3500.0,1600.0
12,technical,,3500.0,1450.0
13,technical,,3500.0,1300.0
14,technical,,3500.0,1150.0
15,technical,,3500.0,1000.0
16,technical,,3500.0,850.0
17,technical,,17000.0,700.0
18,technical,,15500.0,700.0
19,technical,,14000.0,700.0
20,technical,,12500.0,700.0
21,technical,,11000.0,700.0
22,technical,,9500.0,700.0
23,technical,,8000.0,700.0
24,technical,,6500.0,700.0
25,technical,,5000.0,700.0
26,technical,,3500.0,700.0
27,technical,,17000.0,550.0
28,technical,,15500.0,550.0
29,technical,,14000.0,550.0
30,technical,,12500.0,550.0
31,technical,,11000.0,550.0
32,technical,,9500.0,550.0
33,technical,,8000.0,550.0
34,technical,,6500.0,550.0
35,technical,,5000.0,550.0
36,technical,,3500.0,550.0
37,economic,1400.0,,1900.0
38,economic,1250.0,,1900.0
39,economic,1100.0,,1900.0
40,economic,950.0,,1900.0
41,economic,800.0,,1900.0
42,economic,650.0,,1900.0
43,economic,500.0,,1900.0
44,economic,350.0,,1900.0
45,economic,200.0,,1900.0
46,economic,1400.0,,1750.0
47,economic,1250.0,,1750.0
48,economic,1100.0,,1750.0
49,economic,950.0,,1750.0
50,economic,800.0,,1750.0
51,economic,650.0,,1750.0
52,economic,500.0,,1750.0
53,economic,350.0,,1750.0
54,economic,200.0,,1750.0
55,economic,1400.0,,1600.0
56,economic,1250.0,,1600.0
57,economic,1100.0,,1600.0
58,economic,950.0,,1600.0
59,economic,800.0,,1600.0
60,economic,650.0,,1600.0
61,economic,500.0,,1600.0
62,economic,350.0,,1600.0
63,economic,200.0,,1600.0
64,economic,1400.0,,1450.0
65,economic,1250.0,,1450.0
66,economic,1100.0,,1450.0
67,economic,950.0,,1450.0
68,economic,800.0,,1450.0
69,economic,650.0,,1450.0
70,economic,500.0,,1450.0
71,economic,350.0,,1450.0
72,economic,200.0,,1450.0
73,economic,1400.0,,1300.0
74,economic,1250.0,,1300.0
75,economic,1100.0,,1300.0
76,economic,950.0,,1300.0
77,economic,800.0,,1300.0
78,economic,650.0,,1300.0
79,economic,500.0,,1300.0
80,economic,350.0,,1300.0
81,economic,200.0,,1300.0
82,economic,1400.0,,1150.0
83,economic,1250.0,,1150.0
84,economic,1100.0,,1150.0
85,economic,950.0,,1150.0
86,economic,800.0,,1150.0
87,economic,650.0,,1150.0
88,economic,500.0,,1150.0
89,economic,350.0,,1150.0
90,economic,200.0,,1150.0
91,economic,1400.0,,1000.0
92,economic,1250.0,,1000.0
93,economic,1100.0,,1000.0
94,economic,950.0,,1000.0
95,economic,800.0,,1000.0
96,economic,650.0,,1000.0
97,economic,500.0,,1000.0
98,economic,350.0,,1000.0
99,economic,200.0,,1000.0
100,economic,1400.0,,850.0
101,economic,1250.0,,850.0
102,economic,1100.0,,850.0
103,economic,950.0,,850.0
104,economic,800.0,,850.0
105,economic,650.0,,850.0
106,economic,500.0,,850.0
107,economic,350.0,,850.0
108,economic,200.0,,850.0
109,economic,1400.0,,700.0
110,economic,1250.0,,700.0
111,economic,1100.0,,700.0
112,economic,950.0,,700.0
113,economic,800.0,,700.0
114,economic,650.0,,700.0
115,economic,500.0,,700.0
116,economic,350.0,,700.0
117,economic,200.0,,700.0
118,economic,1400.0,,550.0
119,economic,1250.0,,550.0
120,economic,1100.0,,550.0
121,economic,950.0,,550.0
122,economic,800.0,,550.0
123,economic,650.0,,550.0
124,economic,500.0,,550.0
125,economic,350.0,,550.0
126,economic,200.0,,550.0
