,objective_value,investor_score,dso_score,user_score,economic_weight,technical_weight,social_weight,pareto_rank,distance_to_ideal
43,512.1571143087461,1.0,0.9702010635469087,0.8927085931123656,0.1,0.5,0.4,1,0.11135269464931369
37,853.7296300910812,1.0,0.9861953983116235,0.885566995841097,0.2,0.1,0.7,1,0.11526265426670618
57,258.4725969891504,0.0,0.9999999999998905,0.9369055588085959,0.0,0.2,0.8,1,1.001988477233773
58,271.483740289606,0.0,0.9999999999998905,0.9369055588085959,0.0,0.1,0.9,1,1.001988477233773
47,577.7234099575247,1.0,0.9861953983114605,0.885243270740062,0.1,0.1,0.8,2,0.11558405572663528
55,232.32768518546095,0.0,0.9971326536693228,0.9355945686108025,0.0,0.4,0.6,2,1.0020759857752348
53,206.0811570788269,0.0,0.9988718752752774,0.9234946712549453,0.0,0.6000000000000001,0.4,2,1.0029228973314865
36,837.4801886068597,1.0,0.9793436802988965,0.8819995003977608,0.2,0.2,0.6,3,0.11979483064795517
21,1405.4734414286463,1.0,0.9735542877760784,0.8823232254987676,0.4,0.1,0.5,3,0.12061176954196622
56,245.4095390241532,0.0,0.9971326536692922,0.9355945686107533,0.0,0.3,0.7,3,1.0020759857752382
46,561.5745196628135,1.0,0.9793436802987863,0.8819995003977283,0.1,0.2,0.7,4,0.11979483064800611
54,219.24261280612967,0.0,0.9962713106870936,0.9345417862662525,0.0,0.5,0.5,4,1.002147035553768
28,1129.6131324846067,1.0,0.9735542877759928,0.8819995003977216,0.3,0.1,0.6,5,0.12092763787249924
52,192.2073667630711,0.0,0.9930242257686093,0.9049551841188185,0.0,0.7000000000000001,0.3,5,1.0045308250382439
59,284.49488359006125,0.0,0.36590689988172653,0.9192249307234616,0.0,0.0,1.0,5,1.1868439962498156
45,545.3087876373963,1.0,0.973150164139218,0.8790769347848792,0.1,0.3,0.6,6,0.12386808058079887
27,1113.3206482155244,1.0,0.9712194791088853,0.8782051457720182,0.3,0.2,0.5,7,0.12514913063692937
42,495.1668167165389,1.0,0.9630413518262242,0.878642873680791,0.1,0.6000000000000001,0.3,7,0.12686013472832747
44,528.8216268620155,1.0,0.9702010635467802,0.87738378249948,0.1,0.4,0.5,8,0.12618523450815416
19,1372.3113031610228,1.0,0.9606582941708558,0.8782603770053322,0.4,0.3,0.3,8,0.12793867915697255
35,821.0711650631096,1.0,0.9702010635467802,0.8773837824994688,0.2,0.3,0.5,9,0.12618523450816505
34,804.5304732703721,1.0,0.9606582941708558,0.8779366519043121,0.2,0.4,0.4,9,0.12824675733084243
8,1940.0241483383604,1.0,0.954868901648044,0.8779366519043135,0.6000000000000001,0.2,0.2,9,0.13013945207654234
25,1079.948046959921,1.0,0.9630413518261814,0.8771321565426763,0.3,0.4,0.3,10,0.12830607402102795
33,787.560012794394,1.0,0.9630413518262181,0.876808431441695,0.2,0.5,0.3,10,0.12861611189384076
13,1647.6674276809892,1.0,0.9521432001510372,0.8698475477867971,0.5,0.3,0.2,11,0.1386720379488733
20,1389.007208717573,1.0,0.9606582941708558,0.8660847278309681,0.4,0.2,0.4,11,0.13957460348377423
26,1096.7757188513374,1.0,0.9606582941708741,0.8657610027299412,0.3,0.3,0.4,11,0.13988523226422558
5,2232.1150684186177,1.0,0.9548689016480808,0.866084727830973,0.7000000000000001,0.1,0.2,11,0.1413156614057875
29,1145.6859737016368,1.0,0.14766722218324105,0.8719691298864201,0.3,0.0,0.7,11,0.8618950445633581
38,869.7251135680781,1.0,0.14226493207201804,0.872648456595614,0.2,0.0,0.8,11,0.8671377412850273
14,1664.530485099992,1.0,0.9548689016480808,0.8660847278309718,0.5,0.2,0.3,12,0.14131566140578866
48,593.7642534345206,1.0,0.14237581713284328,0.8707954218360094,0.1,0.0,0.9,12,0.8673021745949291
9,1956.614527322888,1.0,0.9548689016480746,0.866084727830963,0.6000000000000001,0.1,0.3,13,0.14131566140579896
15,1681.113986227156,1.0,0.9548689016480563,0.8660847278309637,0.5,0.1,0.4,13,0.14131566140580418
18,1355.1540292851903,1.0,0.9336474629695156,0.8588785619804922,0.4,0.4,0.2,14,0.15594203871655518
22,1421.6326210756688,1.0,0.14596658602479756,0.8640908536190134,0.4,0.0,0.6,14,0.8647799536622873
32,769.9492114381021,1.0,0.9228663260508075,0.8469923849517502,0.2,0.6000000000000001,0.2,15,0.1713503251226963
16,1697.492930019708,1.0,0.14083587758608154,0.8610641108090015,0.5,0.0,0.5,15,0.8703253245474201
24,1062.5556278200718,1.0,0.9228663260508014,0.8469923849517402,0.3,0.5,0.2,16,0.17135032512270795
10,1973.1980284500569,1.0,0.13651872302144574,0.8576801951692853,0.6000000000000001,0.0,0.4,16,0.8751313287384742
41,477.26980480335584,1.0,0.9214283678748951,0.7441957930494949,0.1,0.7000000000000001,0.2,17,0.2675991286764209
3,2524.199110641514,1.0,0.1365187230214444,0.8417954251907842,0.8,0.0,0.2,17,0.8778545455729451
6,2248.698569545785,1.0,0.1366296080822696,0.8399423904311822,0.7000000000000001,0.0,0.3,17,0.8780813584293085
51,175.85828570823185,0.0,0.9175357236612364,0.8323465159296412,0.0,0.8,0.2,17,1.017304304322461
4,2211.3206243622094,1.0,0.8056071586251655,0.7020618684550471,0.7000000000000001,0.2,0.1,18,0.3557466893820365
40,452.7120875160003,1.0,0.8187129764804669,0.5993448450290336,0.1,0.8,0.1,18,0.4397607737183716
50,153.58275130804842,0.0,0.8287738808781289,0.6935376049588265,0.0,0.9,0.1,18,1.0598290350070192
7,1918.725394628084,1.0,0.8048100675355019,0.6922747047821849,0.6000000000000001,0.3,0.1,19,0.36440906554638125
31,746.1977175993122,1.0,0.8187129764804669,0.599344845029033,0.2,0.7000000000000001,0.1,19,0.43976077371837224
2,2503.8586386724724,1.0,0.8032062660638757,0.6900133053296867,0.8,0.1,0.1,20,0.3671777833545326
17,1332.7239022199944,1.0,0.8012126833689489,0.6269364258007393,0.4,0.5,0.1,21,0.42272074428362405
23,1039.5319260421345,1.0,0.8015120823583701,0.6211871107044898,0.3,0.6000000000000001,0.1,21,0.42766418899192726
1,2796.204651498779,1.0,0.10855977605050462,0.6767581329398321,0.9,0.0,0.1,21,0.9482357183188523
12,1625.892164425995,1.0,0.8012126833688,0.6269364258007375,0.5,0.4,0.1,22,0.4227207442836956
11,1590.9779072134843,1.0,0.6972333530112595,0.0018844838159088246,0.5,0.5,0.0,23,1.043025515592135
49,118.13255671983246,0.0,0.7287544415981684,0.009413309048165897,0.0,1.0,0.0,23,1.4334699666346784
39,414.83627034213345,1.0,0.6972333530112595,0.0018844838159084547,0.1,0.9,0.0,24,1.0430255155921355
30,708.8716795599711,1.0,0.6972333530112595,0.0018844838159076957,0.2,0.8,0.0,25,1.0430255155921362
0,3060.7143088735174,1.0,0.0,0.0,1.0,0.0,0.0,26,1.4142135623730951
