,version,technical,economic
0,augmecon_social_eps0,165.3559507477,6702.652305803
1,augmecon_social_eps1,165.3559507477,5872.8692019648
2,augmecon_social_eps2,165.3559507477,5043.0860981266
3,augmecon_social_eps3,165.3559507477,4213.3029942884
4,augmecon_social_eps4,165.3559507477,3383.5198904502004
5,augmecon_social_eps5,165.3559507477,2553.7367866120003
6,augmecon_social_eps6,165.3559507477,6702.652305803
7,augmecon_social_eps7,165.3559507477,5872.8692019648
8,augmecon_social_eps8,165.3559507477,5043.0860981266
9,augmecon_social_eps9,165.3559507477,4213.3029942884
10,augmecon_social_eps10,165.3559507477,3383.5198904502004
11,augmecon_social_eps11,165.3559507477,2553.7367866120003
12,augmecon_social_eps12,165.3559507477,6702.652305803
13,augmecon_social_eps13,165.3559507477,5872.8692019648
14,augmecon_social_eps14,165.3559507477,5043.0860981266
15,augmecon_social_eps15,165.3559507477,4213.3029942884
16,augmecon_social_eps16,165.3559507477,3383.5198904502004
17,augmecon_social_eps17,165.3559507477,2553.7367866120003
18,augmecon_social_eps18,165.3559507477,6702.652305803
19,augmecon_social_eps19,165.3559507477,5872.8692019648
20,augmecon_social_eps20,165.3559507477,5043.0860981266
21,augmecon_social_eps21,165.3559507477,4213.3029942884
22,augmecon_social_eps22,165.3559507477,3383.5198904502004
23,augmecon_social_eps23,165.3559507477,2553.7367866120003
24,augmecon_social_eps24,165.3559507477,6702.652305803
25,augmecon_social_eps25,165.3559507477,5872.8692019648
26,augmecon_social_eps26,165.3559507477,5043.0860981266
27,augmecon_social_eps27,165.3559507477,4213.3029942884
28,augmecon_social_eps28,165.3559507477,3383.5198904502004
29,augmecon_social_eps29,165.3559507477,2553.7367866120003
30,augmecon_social_eps30,165.3559507477,6702.652305803
31,augmecon_social_eps31,165.3559507477,5872.8692019648
32,augmecon_social_eps32,165.3559507477,5043.0860981266
33,augmecon_social_eps33,165.3559507477,4213.3029942884
34,augmecon_social_eps34,165.3559507477,3383.5198904502004
35,augmecon_social_eps35,165.3559507477,2553.7367866120003
