,primary,economic,technical,social
0,social,15500,200.0,
1,social,14000,200.0,
2,social,12500,200.0,
3,social,11000,200.0,
4,social,9500,200.0,
5,social,8000,200.0,
6,social,6500,200.0,
7,social,5000,200.0,
8,social,3500,1400.0,
9,social,3500,1250.0,
10,social,3500,1100.0,
11,social,3500,950.0,
12,social,3500,800.0,
13,social,3500,650.0,
14,social,3500,500.0,
15,social,3500,350.0,
16,social,3500,200.0,
17,technical,15500,,550.0
18,technical,14000,,550.0
19,technical,12500,,550.0
20,technical,11000,,550.0
21,technical,9500,,550.0
22,technical,8000,,550.0
23,technical,6500,,550.0
24,technical,5000,,550.0
25,technical,3500,,1900.0
26,technical,3500,,1750.0
27,technical,3500,,1600.0
28,technical,3500,,1450.0
29,technical,3500,,1300.0
30,technical,3500,,1150.0
31,technical,3500,,1000.0
32,technical,3500,,850.0
33,technical,3500,,700.0
34,technical,3500,,550.0
