,config_3_flexible
investment_cost,800.0
p_peak_increase,6.02
papr,2.5348
avg_soc_t_dep_percent,90.8796
avg_soc_to_max_deviation,9.120400000000004
soc_range,54.39952664301312
lowest_soc,45.60047335698688
num_cp,4.0
p_cp_rated,2.4
avg_num_charging_days,3.5
economic,1.0
technical,0.0
social,1.0
normalised_objective,960.1908370748563
norm_economic,3.4698535589465553
norm_technical,99.58279407074366
norm_social,5.474061414166849
total_objective_value,1949.5320439159025
economic_objective,301.02056621124177
technical_objective,989.3412068410462
social_objective,659.1702708636145
mip_gap,3.365676379896718
