Metric,'CS1_flat_100EVs_20km_SOCmin0.3','CS1_flat_100EVs_20km_SOCmin0.4','CS1_tou_100EVs_20km_SOCmin0.3','CS1_tou_100EVs_20km_SOCmin0.4'
Tariff type,flat,flat,tou,tou
Number of EVs,100,100,100,100
Average travel distance (km),20,20,20,20
Minimum SOC (%),0.3,0.4,0.3,0.4
Number of households,100,100,100,100
Number of CPs,100,100,100,100
Max charging power (kW),1.3,1.3,2.4,2.4
Total optimal cost ($),41664.119238238054,41578.13361180737,40106.2707833276,40080.96171891218
Investment & maintenance cost ($),20767.12328767123,20767.12328767123,20767.12328767123,20767.12328767123
Total household load cost ($),19669.42216514016,19669.42216514016,18898.20203522419,18898.20203522419
Total EV charging cost ($),1069.2724283018538,983.3112690277894,280.34076595205215,255.19508870620865
Grid import cost ($),20738.694593442015,20652.73343416795,19178.54280117624,19153.397123930397
Other costs ($),1.2655405581527814,1.2410734014698872,3.5688779134626456,3.405490743886541
Average EV charging cost ($),10.692724283018539,9.833112690277893,2.8034076595205217,2.5519508870620866
Peak EV load (kW),10.386988552370278,8.820463891050798,28.324405411727817,27.18161059723016
Peak total demand (kW),157.03581656666665,157.03581656666665,157.03581656666665,157.03581656666665
Peak grid import (kW),157.03581656666665,157.03581656666665,157.03581656666665,157.03581656666665
Average daily peak (kW),138.12470240223834,137.90130590857834,142.911908439206,142.8683385727486
Peak-to-average power ratio (PAPR),1.92343880668421,1.9314445764842332,1.9234388066842105,1.9314445764842332
